date,x,y,effort,nsets,cpue,FEI
2014-10,-25.5,1.5,253.268753051758,18,1645.44445800781,0.00163742993026972
2014-10,-24.5,1.5,167.244720458984,15,767.333312988281,0.00109360227361321
2014-10,-23.5,1.5,93.1070861816406,6,1419.16662597656,0.00187893502879888
2014-10,-23.5,0.5,82.010139465332,7,907.142883300781,0.00111271510832012
2014-10,-23.5,-0.5,60.8031959533691,1,3486,0.00041659630369395
2014-10,-24.5,-1.5,35.6522216796875,5,921.599975585938,0.000246235111262649
2014-10,-23.5,-1.5,125.538475036621,17,774.411743164062,0.000860133499372751
2014-10,-24.5,-2.5,58.3431930541992,3,1150,0.000825859315227717
2014-11,-55.5,42.5,320.635681152344,32,2655.375,0.0197819191962481
2014-11,-55.5,41.5,182.360137939453,22,2163.4091796875,0.0028001070022583
2014-11,-58.5,40.5,72.9402770996094,11,2274.72729492188,0.00224014814011753
2014-11,-57.5,40.5,174.464721679688,5,4619.39990234375,0.00794221181422472
2014-11,-55.5,40.5,61.9006958007812,11,1731.81823730469,0.00139612110797316
2014-11,-58.5,39.5,51.8526382446289,6,4756,0.000521479814779013
2014-11,-25.5,5.5,27.7011108398438,7,1410.71423339844,0.000696023635100573
2014-11,-24.5,5.5,0.777083337306976,1,3480,6.71548332320526e-06
2014-12,-55.5,40.5,125.821807861328,18,3208.61108398438,0.00423381617292762
2014-12,-56.5,39.5,34.4043045043945,3,5697,0.000903304608073086
2014-12,-55.5,39.5,209.734298706055,8,2709.75,0.00565794436261058
2014-12,-54.5,39.5,607.886657714844,22,4719.681640625,0.019181203097105
2014-12,-53.5,39.5,528.672241210938,20,3592,0.0127691812813282
2014-12,-52.5,39.5,23.906665802002,2,3177,0.000277792190900072
2014-12,-50.5,39.5,43.7518043518066,3,2330.33325195312,0.000541307323146611
2014-12,-47.5,39.5,47.6655540466309,4,2744.75,0.000988969812169671
2014-12,-51.5,38.5,34.1044425964355,4,3274.75,0.000407296960474923
2014-12,-42.5,35.5,0.79277777671814,5,1284,1.09949314719415e-05
2014-12,-41.5,33.5,175.583465576172,17,1503.05883789062,0.00503298034891486
2015-01,-53.5,40.5,56.8836097717285,7,3823.14282226562,0.009219566360116
2015-01,-54.5,39.5,313.887359619141,33,3546.30297851562,0.00481968373060226
2015-01,-53.5,39.5,172.205688476562,21,3660.42846679688,0.0137774040922523
2015-01,-50.5,35.5,114.608055114746,10,2061.30004882812,0.0033836851362139
2015-01,-48.5,35.5,43.9583320617676,2,1805,0.000663130660541356
2015-01,-50.5,34.5,184.348052978516,11,1580.09094238281,0.0108632128685713
2015-01,-41.5,34.5,93.2243041992188,6,1510.5,0.00133601285051554
2015-01,-40.5,34.5,42.9941673278809,2,1490,0.000616156496107578
2015-01,-39.5,34.5,30.723611831665,2,1153,0.000907083100173622
2015-01,-38.5,34.5,21.9545841217041,4,1910,0.000325484230415896
2015-01,-37.5,34.5,7.76277780532837,2,2162.5,0.00011313523282297
2015-02,-52.5,38.5,132.225143432617,10,3738.69995117188,0.00216564605943859
2015-02,-51.5,38.5,72.1890258789062,4,3210,0.00206910562701523
2015-02,-52.5,37.5,72.1750030517578,4,2538.5,0.00219984445720911
2015-02,-52.5,36.5,177.005554199219,6,2009.83337402344,0.0039725610986352
2015-02,-53.5,35.5,149.495834350586,20,1168.34997558594,0.00453407224267721
2015-02,-52.5,35.5,178.446243286133,20,1909.40002441406,0.00573609536513686
2015-02,-53.5,34.5,124.691665649414,4,1190,0.00377250672318041
2015-02,-53.5,33.5,50.0577774047852,4,1446.75,0.00157238612882793
2015-03,-53.5,35.5,43.6936111450195,2,925.5,0.000494352891109884
2015-05,-9.5,36.5,50.3773612976074,5,64.1999969482422,0.00016660759865772
2015-08,-42.5,44.5,135.605270385742,2,457.5,0.000886713969521224
2015-08,-41.5,44.5,76.2284698486328,14,758.571411132812,0.000500355497933924
2015-08,-44.5,43.5,173.209167480469,14,1489.71423339844,0.00112405547406524
2015-08,-43.5,43.5,49.9498596191406,4,544,0.000322935200529173
2015-08,-42.5,43.5,94.3945846557617,4,1402,0.000624361971858889
2015-08,-41.5,43.5,83.15625,6,901.666687011719,0.000550027296412736
2015-08,-47.5,42.5,231.698196411133,6,1074.66662597656,0.00147033436223865
2015-08,-46.5,42.5,45.7204170227051,28,1399.85717773438,0.000582423817832023
2015-08,-45.5,42.5,72.2358322143555,7,771.571411132812,0.000467018166091293
2015-08,-43.5,42.5,261.317901611328,10,539.200012207031,0.0035455662291497
2015-08,-42.5,42.5,82.3127746582031,4,1241.75,0.00110379257239401
2015-08,-39.5,42.5,40.2075004577637,6,801.166687011719,0.000129974505398422
2015-08,-44.5,41.5,61.9723625183105,4,942.5,0.000844198744744062
2015-08,-43.5,41.5,97.5784759521484,18,1129.55554199219,0.000742520263884217
2015-08,-42.5,41.5,83.067497253418,6,1655,0.000629314861726016
