date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4545,-6178,ARG,trawlers,0.77930555555555547,0,1
2012-02-01,-4033,-6156,ARG,squid_jigger,4.57,0,1
2012-02-01,-4800,-6379,ARG,purse_seines,0.79916666666666658,0,1
2012-02-01,-4544,-6177,ARG,trawlers,1.4133333333333333,0,1
2012-02-01,-4031,-6156,ARG,squid_jigger,0.7598611111111111,0,1
2012-02-01,-4031,-5883,ARG,trawlers,0.77194444444444443,0,1
2012-02-01,-4798,-6379,ARG,purse_seines,3.8006944444444444,0,1
2012-02-01,-4030,-5882,ARG,trawlers,4.5455555555555556,0,1
2012-02-01,-4541,-6391,ARG,trawlers,3.8141666666666665,0,1
2012-02-01,-4541,-6393,ARG,trawlers,0.77847222222222223,0,1
2012-02-01,-4796,-6421,ARG,trawlers,0.76805555555555549,0,1
2012-02-01,-4028,-5880,ARG,trawlers,1.5944444444444446,0,1
2012-02-01,-4795,-6419,ARG,trawlers,0.08875,0,1
2012-02-01,-4027,-5879,ARG,trawlers,0.77944444444444438,0,1
2012-02-01,-4794,-6417,ARG,trawlers,0.74847222222222221,0,1
2012-02-01,-4026,-5862,ARG,trawlers,4.5583333333333336,0,1
2012-02-01,-4025,-5861,ARG,trawlers,0.76847222222222222,0,1
2012-02-01,-4532,-6200,ARG,trawlers,0.08611111111111111,0.08611111111111111,1
2012-02-01,-4532,-6074,ARG,trawlers,0.74236111111111114,0,1
2012-02-01,-4532,-6073,ARG,trawlers,4.6236111111111109,0,1
2012-02-01,-4276,-6063,ARG,trawlers,4.5348611111111108,0,1
2012-02-01,-4531,-6200,ARG,trawlers,1.52875,1.52875,1
2012-02-01,-4531,-6076,ARG,trawlers,1.4562499999999998,0,1
2012-02-01,-4531,-6191,ARG,trawlers,0.76125,0,1
2012-02-01,-4531,-6075,ARG,trawlers,0.76666666666666672,0,1
2012-02-01,-4275,-6062,ARG,trawlers,0.084722222222222227,0,1
2012-02-01,-4530,-6192,ARG,trawlers,1.4655555555555557,0,1
2012-02-01,-4274,-6061,ARG,trawlers,0.75541666666666674,0,1
