spp,id,x,y,dit,nBoats,effort,month
B,S478,-72.5,39.5,0.000792873,210.8809814,0.16720177,6
B,S478,-71.5,39.5,1.12E-06,20.9011116,2.34E-05,6
B,S478,-68.5,39.5,0.000792873,0,0,6
B,S478,-74.5,38.5,1.12E-06,17.00652695,1.90E-05,6
B,S478,-73.5,38.5,0.000792873,36.02120209,0.028560227,6
B,S478,-72.5,38.5,1.12E-06,0,0,6
B,S478,-74.5,37.5,0.000792873,41.85097504,0.033182495,6
B,S478,-74.5,36.5,0.000792873,21.9216671,0.017381091,6
B,S590,-126.5,37.5,0.000792873,0,0,6
B,S590,-125.5,37.5,1.12E-06,0,0,6
B,S590,-124.5,37.5,1.12E-06,0,0,6
B,S590,-126.5,36.5,0.000792873,0,0,6
B,S590,-124.5,36.5,1.12E-06,0,0,6
B,S590,-126.5,35.5,1.12E-06,0,0,6
B,S590,-125.5,34.5,0.000792873,0,0,6
B,S590,-124.5,34.5,1.12E-06,0,0,6
B,S590,-123.5,34.5,0.000792873,0,0,6
B,S590,-122.5,33.5,1.12E-06,0,0,6
B,S590,-121.5,33.5,1.12E-06,0,0,6
B,S590,-120.5,33.5,0.000792873,0,0,6
B,S478,-66.5,41.5,1.12E-06,29.78060341,3.33E-05,7
B,S478,-69.5,40.5,1.12E-06,84.34027863,9.44E-05,7
B,S478,-68.5,40.5,1.12E-06,26.07255554,2.92E-05,7
B,S478,-67.5,40.5,1.12E-06,168.1109467,0.000188201,7
B,S478,-66.5,40.5,1.12E-06,86.17198181,9.65E-05,7
B,S478,-73.5,38.5,0.000792873,119.8075714,0.094992151,7
B,S478,-74.5,37.5,0.000792873,45.0642128,0.035730183,7
B,S478,-74.5,36.5,0.000792873,18.67361069,0.014805796,7
B,S478,-73.5,36.5,1.12E-06,0,0,7
B,S478,-72.5,35.5,0.000792873,0,0,7
B,S478,-72.5,34.5,0.000792873,0,0,7
B,S478,-72.5,33.5,1.12E-06,0,0,7
B,S478,-71.5,32.5,1.12E-06,0,0,7
B,S478,-71.5,31.5,0.000792873,0,0,7
B,S478,-70.5,31.5,1.12E-06,0,0,7
B,S478,-68.5,31.5,0.000792873,0,0,7
B,S478,-67.5,31.5,0.000792873,0,0,7
B,S478,-66.5,31.5,0.000792873,0,0,7
B,S478,-70.5,30.5,1.12E-06,0,0,7
B,S478,-66.5,30.5,0.000792873,0,0,7
B,S478,-70.5,29.5,1.12E-06,0,0,7
B,S478,-65.5,29.5,0.000792873,0,0,7
B,S478,-69.5,28.5,0.000792873,0,0,7
B,S590,-119.5,33.5,0.000792873,0,0,7
