"ID","SHRK_NR","Spp","ScientificName","Region","TAG_TYPE","Eff_mean","Eff_median","Eff_sd","Eff_se","Ov_mean","Ov_median","Ov_sd","Ov_se"
"bl_nh159320a","S26","PGL","Prionace glauca","ATL_N","SPOT",0.000130533718276831,7.26773291408103e-05,0.000147649285879554,8.52453549482163e-05,100,100,0,0
"bl_nh159320b","S27","PGL","Prionace glauca","ATL_N","SPOT",0.000123132610122027,0.000123132610122027,6.22654033802983e-05,4.40282889635247e-05,100,100,NA,NA
"bl_nh159322","S28","PGL","Prionace glauca","ATL_N","SPOT",0.000104936164684514,6.71211029924208e-07,0.000189185470141866,3.39787135039073e-05,68.9075630252101,71.4285714285714,32.4265233303777,18.7214619736773
"bl_nh159324","S29","PGL","Prionace glauca","ATL_N","SPOT",0.000544114700062059,0.00044881623581375,0.000508373760159618,0.000254186880079809,100,100,0,0
"bl_nh159325","S30","PGL","Prionace glauca","ATL_N","SPOT",0.000597084817218199,8.30198213741991e-05,0.000978950111448905,0.000399654709448424,100,100,0,0
"bl_nh159327","S31","PGL","Prionace glauca","ATL_N","SPOT",0.000162210731956802,4.33207559443205e-05,0.000177804067494582,3.42184087436691e-05,75.8585858585859,70,13.1402456021277,7.58652433560622
"bl_nh159328","S32","PGL","Prionace glauca","ATL_N","SPOT",0.000368827514240189,0.000307776990596207,0.000344484725542894,9.9444174511952e-05,94.4444444444444,100,9.62250448649378,5.55555555555557
"bl_nh159329a","S33","PGL","Prionace glauca","ATL_N","SPOT",0.000284981015510756,0.000251722457615896,0.000279671342442087,0.000139835671221043,100,100,0,0
"bl_nh159329b","S34","PGL","Prionace glauca","ATL_N","SPOT",0.000454479029375509,0.000267707154333498,0.000448807226300467,0.000183224782884994,100,100,0,0
"bl_nq107084","S35","PGL","Prionace glauca","ATL_N","PSAT",0.000551551031416351,0.000310015828769717,0.000559893658252118,0.000177053920756062,100,100,0,0
"bl_nq107085","S36","PGL","Prionace glauca","ATL_N","PSAT",0.000357361411190166,0.00013570464076064,0.000556654743423959,9.27757905706598e-05,84.7222222222222,94.4444444444445,23.7333437369931,11.8666718684966
"bl_nq132044","S37","PGL","Prionace glauca","ATL_N","SPOT",0.00022131823785719,4.71198622955266e-05,0.000472040594396414,0.0001362663821216,87.5,87.5,17.6776695296637,12.5
"bl_nq133669","S38","PGL","Prionace glauca","ATL_N","SPOT",0.000365684418797176,8.87751356578145e-05,0.000735785885175508,7.67109813594186e-05,74.469696969697,91.2878787878788,31.9752872566654,11.3049712247879
"bl_nq133670","S39","PGL","Prionace glauca","ATL_N","SPOT",0.000220126306602621,0,0.000543899972366089,5.18588275942777e-05,40.0868055555556,28.5714285714286,37.4430183185069,13.2381060805542
"bl_nq135925","S40","PGL","Prionace glauca","ATL_N","SPOT",0.000109947759691015,7.85116048891464e-05,0.000108954263482686,2.64252903941466e-05,96.4285714285714,96.4285714285714,5.05076272276102,3.57142857142855
