ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S62,Blue shark,Prionace glauca,225,M,SPOT,26/01/2017,14.17,-28.4,171,41.15,-43.83,,ATL_N
S63,Blue shark,Prionace glauca,230,F,SPOT,25/01/2017,13.49,-29.14,102,38.17,-17.02,,ATL_N
S64,Blue shark,Prionace glauca,200,F,PSAT,24/01/2017,13.4,-28.5,47,28.08,-32.55,,ATL_N
S65,Blue shark,Prionace glauca,230,M,PSAT,26/01/2017,14.19,-28.43,19,15.75,-25.05,,ATL_N
S66,Blue shark,Prionace glauca,230,F,PSAT,25/01/2017,13.46,-28.5,121,34.02,-27.93,,ATL_N
S67,Blue shark,Prionace glauca,230,M,PSAT,28/01/2017,15.03,-28.41,121,39.35,-40.46,,ATL_N
S68,Blue shark,Prionace glauca,210,F,SPOT,28/08/2011,31.5,-36.4,47,30.04,-40.04,,ATL_N
S69,Blue shark,Prionace glauca,150,F,PSAT,24/08/2007,50.03,-4.41,70,46.95,-5.55,,ATL_N
S70,Blue shark,Prionace glauca,180,F,PSAT,04/06/2008,37,-8.66,117,29.44,-13.52,,ATL_N
S71,Blue shark,Prionace glauca,180,F,PSAT,04/06/2008,36.99,-8.64,179,21.6,-33.87,,ATL_N
S72,Blue shark,Prionace glauca,199,F,PSAT,06/07/2006,50.04,-4.1,30,48.81,-5.58,,ATL_N
S73,Blue shark,Prionace glauca,200,F,PSAT,03/06/2008,36.99,-8.66,106,28.66,-14.37,,ATL_N
S74,Blue shark,Prionace glauca,90,F,PSAT,10/10/2006,36.98,-8.61,58,36.04,-11.1,,ATL_N
S75,Blue shark,Prionace glauca,199,M,PSAT,17/06/2007,36.3,-24.28,59,29.48,-28.69,,ATL_N
S76,Blue shark,Prionace glauca,130,F,PSAT,01/08/2007,50.05,-4.11,60,47.06,-8.81,,ATL_N
S77,Blue shark,Prionace glauca,115,F,PSAT,04/10/2007,36.96,-8.68,69,34.34,-11.62,,ATL_N
S78,Blue shark,Prionace glauca,153,F,PSAT,21/07/2006,50.09,-4.37,60,45.45,-7.47,,ATL_N
S79,Blue shark,Prionace glauca,130,F,PSAT,08/08/2006,50.04,-4.06,60,44.82,-5.27,,ATL_N
